name; release_date
#Ysya2020 Vol. 3 - Dos Cajas de Globos; 2020-08-03
#Ysya2020 Vol. 2 - De la Ciudad del Tango; 2020-07-13
#Ysya2020 Vol. 1 - Una de Dos; 2020-06-22
LA PRIMERA VEZ; 2023-02-09
SACARTE TO'; 2020-11-11
SOBRE EL AGUA; 2020-11-11
PERDAMONO; 2020-11-11
MORDIENDO EL BOZAL; 2020-11-11
Careless Whisper - Remastered; 2006-11-11
YSY A: Bzrp Music Sessions, Vol. 37; 2021-01-27
Sweet Sun; 2014-06-20
Fairytale; 2009-01-12
Flashed Junk Mind; 2014-06-20
Running; 1985-09-16
Feathery - Slow Version; 2014-06-20
Sadnecessary; 2014-06-20
Down By The River; 2014-06-20
Loveland; 2014-06-20
Ghost; 2022-12-09
Stolen Dance; 2014-06-20
Stay with Me - Night Tempo Showa Groove Mix; 2021-02-12
Niito na Gogosanji - Night Tempo Showa Groove Mix; 2021-02-12
Boku no Sensou; 2021-02-22
Jiyuu No Tsubasa; 2017
Shinzo wo Sasageyo!; 2017
Shine; 1994-03-22
LOVE SCENARIO; 2018-01-25
Pistola; 2021-08-20
SO DONE; 2021-07-27
MAYBE; 2023-02-20
WRONG (feat. Lil Mosey); 2021-07-27
NEED YOU MOST (So Sick); 2021-07-27
Uragirimonono Requiem - Giorno Ver.; 2019-08-14
Cradles; 2019-01-04
Film out; 2021-04-01
Sin Mirar; 2019-10-17
Sober; 2014-10-03
Mi Banda Encendida; 2021-02-20
Tinty Nasty; 2021-03-09
Dimelo Rei; 2020-05-08
West Side; 2020-10-30
Heather; 2020-03-20
Made In China; 2017-05-31
No Soy de Aquí... Ni Soy de Allá; 2010-04-20
Fumemos un Cigarrillo; 1969-07-15
6Ft Winter; 2020-12-18
Carousel; 2015-08-14
White Bird; 2022-10-14
3am; 1996-10-01
Snail (feat. Chloe Moriondo); 2020-03-27
Juliet; 2019-04-12
Lullaby; 2022-06-10
Advice; 2012-11-05
Big Bowl in the Sky; 2018-01-01
Somebody's Baby; 1997-01-01
Hug All Ur Friends; 2019-04-12
Poison; 2016-08-03
10 Feet Tall; 2018-01-01
I'll Make Cereal; 2018-01-01
Pigeon; 2021-06-11
Smoke Signals (feat. Tessa Violet); 2020-07-10
is your bedroom ceiling bored? (feat. Cavetown); 2020-07-29
Sad Girl Summer - Cavetown Rework; 2020-08-14
LEMONS (with Cavetown); 2020-09-09
Let Me Feel Low (feat. Miloe); 2021-06-04
Paul; 2016-05-27
Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]; 2021-04-22
ALL IN; 2020-09-11
FAM; 2021-09-10
One Day; 2021-05-08
We Go (Bang Chan, Changbin, HAN); 2020-09-14
Wow (Lee Know, Hyunjin, Felix); 2020-09-14
God’s Menu; 2020-06-17
Easy; 2021-10-14
Pacemaker; 2020-06-17
Airplane; 2010-04-27
Another Day; 2015-04-28
Phobia; 2020-06-17
Blueprint; 2022-06-17
TA; 2014-09-19
ALL IN (Korean Ver.); 2020-11-26
Haven; 2009-10-06
Going Dumb (with Stray Kids); 2021-03-19
Mixtape : On Track; 2020-06-17
Ex; 2015-10-02
Home; 2007-09-11
Sauce; 2023-02-20
T&K; 2022-10-21
I'd Rather Be Alone; 2021-02-26
Apocalypse; 2017-06-09
Wonder; 1995
Ur Gonna Wish U Believed Me; 2021-05-14
The Cruel Angel's Thesis; 2020-12-04
Life Goes On; 2018-05-18
Every Type of Friend; 2021-05-28
Out of Ordinary; 2021-05-28
Swimmer's Delight (SOS); 2021-05-28
All in All; 2019-11-15
Lies Came Out My Mouth; 2021-05-28
Me, Myself & I; 2015-12-04
1993 (feat. Little Ricky ZR3); 2020-07-17
Cash Machine; 2020-07-17
Let Me Down; 2018-11-16
Miracle Man; 2020-07-17
Alien Boy; 2023-02-17
Bury Me Alive; 2016-04-08
Joke's On You!; 2020-01-17
Again & Again; 2021-07-23
Waste My Time; 2022-09-09
Jerk; 2020-07-17
Hurt; 2023-02-20
Introspective; 2020-07-17
Butter (Hotter Remix); 2021-06-04
Butter; 2018-08-03
Butter (Sweeter Remix); 2021-06-04
Butter (Cooler Remix); 2021-06-04
winter; 2022-11-07
COLD BLOODED; 2020-05-08
L.O.V.E.; 2005-01-01
Funeral; 2017-09-22
L-Gante: Bzrp Music Sessions, Vol.38; 2021-03-10
OPA; 2018-04-26
Killer; 1974-11-08
BLOODY STREAM - instrumental; 2013-01-30
STAND PROUD - instrumental; 2014-04-23
il vento d'oro; 2018-12-19
diavolo; 2019-08-14
Stardust Crusaders; 2014-07-30
Permission to Dance; 2021-07-23
Midnight Pretenders; 1983
Body to Body; 2022-07-15
I'm in Love; 2022-10-14
Lonely Night; 2021-12-03
HANNYA; 2022-11-07
Baby, Don't You Cry Anymore; 1983
Surprise; 2022-06-17
Diamond is unbreakable - Main Theme; 2016-07-27
Ra; 2021-06-11
Vengo del Futuro; 2023-02-10
HIT (trocito); 2020-12-23
Un día cualquiera; 2022-01-21
Game Over; 2013-06-18
STAY (with Justin Bieber); 2021-07-09
Cry; 2019-10-25
Cinch; 2018-12-28
Crocodile in the Sky; 2016-09-14
Swept Up; 2017-07-15
Afraid of the Dark; 2016-02-12
Dreamland; 2020-08-07
Il mare eterno nella mia anima; 2013-03-29
BLOODY STREAM; 2013-01-30
Goodbye Nostalgia; 2015-05-13
...And to Those I Love, Thanks for Sticking Around; 2020-02-14
Beggin'; 2017-12-08
I WANNA BE YOUR SLAVE; 2021-03-19
MAMMAMIA; 2021-10-08
ZITTI E BUONI; 2021-03-19
La Melodía de Dios; 2013-01-01
IN NOME DEL PADRE; 2021-03-19
PISO 13; 2016-12-13
Bones in the Ocean; 2013-05-27
Wellerman - Sea Shanty; 2021-01-21
Idea of Her; 2021-06-04
Paul; 2016-05-27
Let Me Feel Low (feat. Miloe); 2021-06-04
Guilty; 2023-02-15
Sharpener; 2020-10-16
Cabildo y Juramento; 2019-10-04
Trying Not To Cry (feat. Cavetown); 2021-09-17
Struck By Lightning (feat. Cavetown); 2021-08-05
Rly Don't Care; 2021-05-07
I Eat Boys; 2021-05-07
Vapor; 2022-12-01
What If It Doesn't End Well; 2021-05-07
y 13; 2022-01-14
Dizzy (feat. Thomas Headon and Alfie Templeman); 2021-11-19
4:00A.M.; 1978-09-21
Just Kiss Her; 2012-05-21
BUITRES; 2021-11-18
CULPA; 2018-09-14
GATO NEGRO; 2021-11-18
Flyday Chinatown; 2021-01-22
G.O.D.; 2021-07-23
Allstars; 2022-07-09
Mormón; 2022-03-10
Speedy; 2018-11-28
Something In The Way; 1991-09-26
Tom's Diner; 2019-06-28
Come As You Are; 1991-09-26
Heart-Shaped Box; 1993-09-21
In Bloom; 1991-09-26
Breed; 1991-09-26
Lithium; 1991-09-26
Polly; 1991-09-26
Territorial Pissings; 1991-09-26
Eleanor Rigby; 1966-08-05
Sextape; 2008
Digiovanni; 2022-01-28
ARRANCARMELO; 2022-04-06
STAND PROUD; 2014-04-23
CRAZY NOISY BIZARRE TOWN - EDM ARRANGE VER.; 2016-04-27
CRAZY NOISY BIZARRE TOWN; 2016-04-27
chase; 2021-09-14
TRAP ON THE ROCKS; 2021-11-11
Thank You - (Acoustic) [Live]; 2013-03-04
Unknown Song; 2022-01-21
Synchronize; 2022-03-09
Colorado; 2022-11-11
Don't Let Me Down; 2016-02-05
Daydreaming; 2022-05-20
The Game; 2005
Tainted Love; 1981
Cold Summer Breeze; 2021-11-03
Gratis; 2011-03-21
Basado en Hechos Reales; 2000
Colombiana - Remix; 2019-01-18
Oh Mama; 2016-12-25
Casi un G; 2018-08-09
Little Dark Age; 2018-02-09
ORO Y PLATINO; 2021-11-11
INOLVIDABLE; 2006-02-07
SEA LA HORA QUE SEA; 2021-11-11
TODO AUTOMATICO; 2021-11-11
About Damn Time; 2022-04-14
We Didn't Make It To The Moon; 2019-11-15
Right From Here; 2019-11-15
Scarlet Paintings; 2019-11-15
Fallen; 2015-09-15
Window; 2021-08-13
Blossom; 2021-09-24
Your eyes tell; 2020-07-14
Crystal Snow; 2018-04-04
Born Singer; 2022-06-10
FAKE LOVE; 2017-03-18
IDOL; 2018-08-24
Boy With Luv (Feat. Halsey); 2019-04-12
ON; 2022-12-02
My Universe; 2021-09-24
MORE; 2021-01-08
Hope World; 2018-03-02
P.O.P (Piece Of Peace) Pt. 1; 2018-03-02
Base Line; 2018-03-02
Airplane; 2010-04-27
Pandora's Box; 2022-07-15
MORE; 2021-01-08
STOP; 2020-12-25
= (Equal Sign); 2022-07-15
Arson; 2022-07-15
Grocery Store; 2023-02-17
Glimpse of Us; 2022-06-10
GIVENCHY; 2021-07-21
Fly-day Chinatown; 1981-09-21
Domingo; 2022-11-03
El Amanecer; 2017-01-20
Vamo a Darle; 2018-10-21
LA Leakers Freestyle; 2022-09-09
Doja; 2022-07-21
Straight Back to It; 2022-02-25
Durmiendo en el Parque; 2020-01-10
Synchronize - RAC Mix; 2022-10-05
Glass Of Wine; 2022-10-05
I Am Lost_Demo; 2022-10-05
Changes; 2018-03-16
Tormento; 2015-08-21
El Cristal; 2015-08-21
El Diablo; 2019-07-05
Amor Completo; 2015-08-21
Un Alma En Pena; 2015-08-21
Tu Falta De Querer; 2015-08-21
Si Tú Me Quisieras; 2015-08-21
New Genesis; 2022-08-10
I’m invincible; 2022-08-10
Backlight; 2022-08-10
Fleeting Lullaby; 2022-08-10
Tot Musica; 2022-08-10
The World's Continuation; 2022-08-10
Where the Wind Blows; 2022-08-10
QUEREME; 2022-06-16
UOH OH OH; 2022-11-11
Nube negra; 2008-11-05
clavar la espada; 2008-11-05
La distancia para un duelo; 2008-11-05
Principio de lucha; 2008-11-05
no regresar; 2023-02-10
Fiesta de guerra.; 2008-11-05
Batalla, Batalla; 2008-11-05
Andar errante.; 2008-11-05
Get Smart!; 2008-11-05
escalon; 2008-11-05
shady charade; 2008-11-05
quincy's craft; 2008-11-05
dominio del chad; 2008-11-05
KO; 2003-01-01
magot's dance; 2008-11-05
orihime's line; 2008-11-05
soundscape to ardor; 2008-11-05
HOLLOWED; 2019-06-07
anguish; 2023-02-10
princess in captivity; 2008-11-05
cops'n robbers; 2008-11-05
dancin' in the dunes; 2008-11-05
can't back down; 2010-01-01
scoudrels; 2008-11-05
yours truly; 2016-12-09
turkish delight; 2021-07-19
RELOJES REVENTADOS; 2022-11-11
CUÁNTOS TÉRMINOS?; 2022-11-11
CUÁNTO VALE HACER EL AMOR?; 2022-11-11
A POR TODO; 2022-11-11
CUÁL?; 2015-06-30
PA ESTA SOLEDAD; 2022-11-11
HERIDAS AL FUEGO; 2022-11-11
TODO PAGO; 2022-11-11
CÓMO CHILLA ELLA; 2022-11-11
UN PISO MÁS; 2022-11-11
SER EL TRAP; 2022-11-11
COMO TIENE QUE SER (prod. HALPE); 2019-11-11
LUZ DELITO; 2019-10-04
Roundabout - 2003 Remaster; 1971-11-26
Roundabout - Early Rough Mix; 1971-11-26
Owner of a Lonely Heart; 1983-06-01
Long Distance Runaround - 2003 Remaster; 1971-11-26
Love Will Find a Way; 1978
South Side of the Sky - 2003 Remaster; 1971-11-26
Mood for a Day - 2003 Remaster; 1971-11-26
Heart of the Sunrise - 2003 Remaster; 1971-11-26
America - 2003 Remaster; 1971-11-26
Loading; 2021-03-12
The Future Is Futile; 2012-11-27
Milagrosa; 2022-08-16
Valores del West; 2022-11-27
1 7 0 8; 2022-07-22
Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix; 2019-03-27
on the precipice of defeat; 2005-05-18
never meant to belong; 2005-05-18
Ciega, Sordomuda; 1998-09-29
Loba; 2009
